Date,Day,Category,Time,Holiday,Total Time
20 09 2023,3,1,9:40,0,18:11
20 09 2023,3,2,13:51,0,13:59
20 09 2023,3,3,21:10,0,25:13
21 09 2023,4,1,9:48,0,17:38
21 09 2023,4,2,13:22,0,19:36
21 09 2023,4,3,20:15,0,20:51
22 09 2023,5,1,9:50,0,18:48
22 09 2023,5,2,14:02,0,13:28
22 09 2023,5,3,20:58,0,25:17
23 09 2023,6,1,9:55,1,18:26
23 09 2023,6,2,13:43,1,20:31
23 09 2023,6,3,19:40,1,20:10
24 09 2023,7,1,9:45,1,19:53
24 09 2023,7,2,13:20,1,17:04
24 09 2023,7,3,20:45,1,22:12
25 09 2023,1,1,9:43,0,18:48
25 09 2023,1,2,13:10,0,15:36
25 09 2023,1,3,20:00,0,19:57
26 09 2023,2,1,9:40,0,21:15
26 09 2023,2,2,13:49,0,16:12
26 09 2023,2,3,20:45,0,19:55
27 09 2023,3,1,9:42,0,19:49
27 09 2023,3,2,14:02,0,16:03
27 09 2023,3,3,21:00,0,19:39
28 09 2023,4,1,9:38,1,20:15
28 09 2023,4,2,14:00,1,18:40
28 09 2023,4,3,20:30,1,20:13
29 09 2023,5,1,9:30,0,21:09
29 09 2023,5,2,13:39,0,27:51
29 09 2023,5,3,20:25,0,19:36
30 09 2023,6,1,10:00,1,25:51
30 09 2023,6,2,13:43,1,13:02
30 09 2023,6,3,20:20,1,21:05
01 10 2023,7,1,10:00,1,18:46
01 10 2023,7,2,13:30,1,18:07
01 10 2023,7,3,21:15,1,22:07
02 10 2023,1,1,10:00,1,19:16
02 10 2023,1,2,14:00,1,23:00
02 10 2023,1,3,20:30,1,18:38
03 10 2023,2,1,9:34,0,19:45
03 10 2023,2,2,13:22,0,15:40
03 10 2023,2,3,21:00,0,19:51
